freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,3.86e-10,1.54e-13,8.27e-10,3.31e-13,0.0,0.0,1.21e-09,4.85e-13,1.21e-09,0.59296
4.0,2500.0,3.95e-10,6.32e-13,3.7e-09,5.92e-12,0.0,0.0,4.1e-09,6.56e-12,9.41e-09,0.78837
6.0,1666.666,1.35e-10,4.85e-13,8.78e-09,3.16e-11,0.0,0.0,8.92e-09,3.21e-11,2.72e-08,0.96923
8.0,1250.0,7.86e-11,5.03e-13,1.55e-08,9.91e-11,0.0,0.0,1.56e-08,9.96e-11,5.84e-08,0.99407
10.0,1000.0,3.45e-10,3.45e-12,2.36e-08,2.36e-10,0.0,0.0,2.4e-08,2.4e-10,1.06e-07,0.98685
12.0,833.333,2.27e-09,3.27e-11,3.16e-08,4.55e-10,0.0,0.0,3.39e-08,4.88e-10,1.74e-07,0.93339
14.0,714.286,5.82e-09,1.14e-10,3.95e-08,7.74e-10,0.0,0.0,4.53e-08,8.88e-10,2.65e-07,0.85602
16.0,625.0,5.33e-09,1.37e-10,5.39e-08,1.38e-09,0.0,0.0,5.92e-08,1.52e-09,3.83e-07,0.8873
18.0,555.555,1.54e-09,5e-11,7.39e-08,2.39e-09,0.0,0.0,7.54e-08,2.44e-09,5.34e-07,0.97139
20.0,500.0,2.89e-10,1.16e-11,9.26e-08,3.7e-09,0.0,0.0,9.29e-08,3.72e-09,7.2e-07,0.99644
22.0,454.545,2.55e-09,1.23e-10,1.09e-07,5.27e-09,0.0,0.0,1.11e-07,5.39e-09,9.43e-07,0.97679
24.0,416.667,1.32e-08,7.63e-10,1.17e-07,6.73e-09,0.0,0.0,1.3e-07,7.49e-09,1.2e-06,0.88941
26.0,384.615,2.4e-08,1.62e-09,1.26e-07,8.52e-09,0.0,0.0,1.5e-07,1.01e-08,1.5e-06,0.81622
28.0,357.143,1.8e-08,1.41e-09,1.57e-07,1.23e-08,0.0,0.0,1.75e-07,1.37e-08,1.85e-06,0.87426
30.0,333.333,4.71e-09,4.24e-10,1.98e-07,1.78e-08,0.0,0.0,2.03e-07,1.83e-08,2.26e-06,0.96953
32.0,312.5,8.41e-10,8.61e-11,2.3e-07,2.35e-08,0.0,0.0,2.3e-07,2.36e-08,2.72e-06,0.99586
34.0,294.118,1.13e-08,1.31e-09,2.46e-07,2.84e-08,0.0,0.0,2.57e-07,2.97e-08,3.23e-06,0.95105
36.0,277.778,3.61e-08,4.68e-09,2.46e-07,3.19e-08,0.0,0.0,2.82e-07,3.66e-08,3.8e-06,0.8546
38.0,263.158,4.42e-08,6.38e-09,2.68e-07,3.87e-08,0.0,0.0,3.12e-07,4.51e-08,4.42e-06,0.83499
40.0,250.0,2e-08,3.21e-09,3.3e-07,5.27e-08,0.0,0.0,3.5e-07,5.59e-08,5.12e-06,0.93051
42.0,238.095,2.29e-09,4.04e-10,3.85e-07,6.79e-08,0.0,0.0,3.87e-07,6.83e-08,5.9e-06,0.99312
44.0,227.273,2.18e-09,4.23e-10,4.2e-07,8.14e-08,0.0,0.0,4.23e-07,8.18e-08,6.74e-06,0.99437
46.0,217.391,2.42e-08,5.13e-09,4.32e-07,9.13e-08,0.0,0.0,4.56e-07,9.65e-08,7.65e-06,0.94067
48.0,208.333,6.65e-08,1.53e-08,4.2e-07,9.67e-08,0.0,0.0,4.86e-07,1.12e-07,8.62e-06,0.84363
50.0,200.0,6.94e-08,1.73e-08,4.55e-07,1.14e-07,0.0,0.0,5.25e-07,1.31e-07,9.67e-06,0.84461
52.0,192.308,2.82e-08,7.62e-09,5.46e-07,1.48e-07,0.0,0.0,5.74e-07,1.55e-07,1.08e-05,0.9403
54.0,185.185,2.42e-09,7.05e-10,6.18e-07,1.8e-07,0.0,0.0,6.21e-07,1.81e-07,1.21e-05,0.99553
56.0,178.571,1.47e-08,4.62e-09,6.47e-07,2.03e-07,0.0,0.0,6.62e-07,2.08e-07,1.34e-05,0.9752
58.0,172.414,6.8e-08,2.29e-08,6.28e-07,2.11e-07,0.0,0.0,6.96e-07,2.34e-07,1.48e-05,0.88852
60.0,166.667,1.19e-07,4.28e-08,6.13e-07,2.21e-07,0.0,0.0,7.32e-07,2.64e-07,1.62e-05,0.81251
62.0,161.29,8.76e-08,3.37e-08,6.99e-07,2.69e-07,0.0,0.0,7.86e-07,3.02e-07,1.78e-05,0.86779
64.0,156.25,2.2e-08,9.02e-09,8.25e-07,3.38e-07,0.0,0.0,8.47e-07,3.47e-07,1.95e-05,0.96807
